Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
C1122,0,Bilingue,6,ThirdPSing,2,
C1122,0,Bilingue,7,ThirdPSing,1,3437
C1122,0,Bilingue,8,ThirdPSing,2,
I1101,0,Bilingue,1,ThirdPSing,1,1231
I1101,0,Bilingue,2,ThirdPSing,2,
I1101,0,Bilingue,3,ThirdPSing,2,
I1101,0,Bilingue,4,ThirdPSing,2,
I1101,0,Bilingue,5,ThirdPSing,2,
I1101,0,Bilingue,6,ThirdPSing,1,1242
I1101,0,Bilingue,7,ThirdPSing,2,
I1101,0,Bilingue,8,ThirdPSing,1,2288
I1102,0,Bilingue,1,ThirdPSing,1,2704
I1102,0,Bilingue,2,ThirdPSing,2,
I1102,0,Bilingue,3,ThirdPSing,2,
I1102,0,Bilingue,4,ThirdPSing,2,
I1102,0,Bilingue,5,ThirdPSing,1,3649
I1102,0,Bilingue,6,ThirdPSing,2,
I1102,0,Bilingue,7,ThirdPSing,2,
I1102,0,Bilingue,8,ThirdPSing,2,
I1103,0,Bilingue,1,ThirdPSing,1,1923
I1103,0,Bilingue,2,ThirdPSing,2,
I1103,0,Bilingue,3,ThirdPSing,1,2480
I1103,0,Bilingue,4,ThirdPSing,2,
I1103,0,Bilingue,5,ThirdPSing,2,
I1103,0,Bilingue,6,ThirdPSing,2,
I1103,0,Bilingue,7,ThirdPSing,1,2354
I1103,0,Bilingue,8,ThirdPSing,2,
I1104,0,Bilingue,1,ThirdPSing,2,
I1104,0,Bilingue,2,ThirdPSing,2,
I1104,0,Bilingue,3,ThirdPSing,1,986
I1104,0,Bilingue,4,ThirdPSing,2,
I1104,0,Bilingue,5,ThirdPSing,1,1998
I1104,0,Bilingue,6,ThirdPSing,2,
I1104,0,Bilingue,7,ThirdPSing,1,2309
I1104,0,Bilingue,8,ThirdPSing,2,
I1105,0,Bilingue,1,ThirdPSing,2,
I1105,0,Bilingue,2,ThirdPSing,2,
I1105,0,Bilingue,3,ThirdPSing,2,
I1105,0,Bilingue,4,ThirdPSing,1,5889
I1105,0,Bilingue,5,ThirdPSing,2,
I1105,0,Bilingue,6,ThirdPSing,2,
I1105,0,Bilingue,7,ThirdPSing,2,
I1105,0,Bilingue,8,ThirdPSing,2,
I1106,0,Bilingue,1,ThirdPSing,2,
I1106,0,Bilingue,2,ThirdPSing,1,3947
I1106,0,Bilingue,3,ThirdPSing,2,
I1106,0,Bilingue,4,ThirdPSing,2,
